customer_id,transaction_date,amount
C00000,2025-09-10,195.78
C00000,2025-09-12,50.87
C00000,2025-10-01,133.25
C00000,2025-10-16,37.44
C00000,2025-10-18,101.95
C00000,2025-10-28,195.22
C00000,2025-11-23,206.8
C00000,2025-11-27,79.74
C00000,2025-12-09,85.42
C00000,2025-12-27,47.99
C00000,2025-12-28,40.01
C00000,2025-12-31,48.38
C00001,2025-03-17,66.11
C00001,2025-04-23,38.28
C00001,2025-05-22,43.49
C00001,2025-06-11,11.52
C00001,2025-06-18,23.29
C00001,2025-06-24,43.98
C00001,2025-07-14,32.19
C00001,2025-07-14,73.73
C00001,2025-07-31,190.5
C00001,2025-08-02,62.25
C00001,2025-09-11,35.45
C00001,2025-10-04,28.92
C00001,2025-10-06,75.61
C00001,2025-10-07,33.61
C00001,2025-11-14,59.57
C00001,2025-11-27,157.04
C00001,2025-12-03,125.56
C00001,2025-12-15,85.51
C00001,2025-12-20,41.85
C00002,2025-08-20,133.87
C00002,2025-08-22,58.48
C00002,2025-08-24,141.13
C00002,2025-08-25,32.04
C00002,2025-08-28,172.52
C00002,2025-08-31,82.76
C00002,2025-09-04,51.75
C00002,2025-09-04,43.9
C00002,2025-09-11,39.93
C00002,2025-09-16,38.48
C00002,2025-09-26,115.78
C00003,2025-10-04,56.53
C00003,2025-10-05,23.15
C00003,2025-11-14,4.08
C00003,2025-11-18,30.95
C00004,2025-06-08,149.52
C00004,2025-06-09,18.13
C00004,2025-06-14,33.21
C00004,2025-06-17,277.26
C00004,2025-06-22,40.02
C00004,2025-06-29,145.36
C00004,2025-07-06,78.44
C00004,2025-07-08,168.0
C00004,2025-07-12,62.69
C00004,2025-07-17,67.14
C00004,2025-07-24,282.98
C00004,2025-07-30,98.24
C00004,2025-08-02,30.44
C00004,2025-08-06,68.02
C00004,2025-08-07,156.12
C00004,2025-08-07,17.85
C00004,2025-08-16,173.38
C00004,2025-09-03,56.06
C00004,2025-09-14,96.08
C00005,2025-11-13,31.66
C00005,2025-11-23,32.67
C00005,2025-11-30,41.66
C00005,2025-12-13,23.87
C00005,2025-12-17,10.23
C00005,2025-12-17,4.1
C00005,2025-12-18,37.74
C00005,2025-12-29,27.19
C00006,2025-09-04,20.2
C00006,2025-10-08,38.16
C00006,2025-11-25,27.59
C00007,2025-08-11,229.27
C00007,2025-08-23,104.13
C00007,2025-09-03,110.47
C00007,2025-09-18,88.1
C00007,2025-09-30,52.66
C00008,2025-05-08,95.93
C00008,2025-07-08,69.01
C00008,2025-07-14,42.79
C00008,2025-07-15,54.59
C00008,2025-07-28,72.69
C00008,2025-08-27,27.05
C00008,2025-09-04,30.6
C00008,2025-09-04,51.17
C00008,2025-09-08,26.06
C00008,2025-10-02,26.87
C00008,2025-10-04,52.65
C00008,2025-10-19,87.52
C00008,2025-10-29,85.51
C00008,2025-10-31,45.72
C00009,2025-01-07,76.41
C00009,2025-01-08,39.28
C00009,2025-01-26,113.93
C00009,2025-02-03,39.88
C00009,2025-02-05,58.76
C00009,2025-02-07,183.39
C00009,2025-02-10,195.41
C00009,2025-02-11,191.28
C00009,2025-03-01,84.42
C00009,2025-03-03,55.52
C00009,2025-03-24,126.72
C00009,2025-03-26,40.67
C00009,2025-04-28,148.91
C00009,2025-05-03,51.29
C00009,2025-05-13,73.9
C00009,2025-05-18,151.22
C00009,2025-06-15,13.08
C00009,2025-06-19,53.21
C00010,2025-10-01,161.78
C00010,2025-10-05,15.72
C00010,2025-11-02,102.53
C00010,2025-11-23,20.11
C00011,2025-08-30,13.48
C00011,2025-09-02,62.48
C00011,2025-09-03,41.0
C00011,2025-09-25,47.31
C00011,2025-09-26,186.09
C00011,2025-10-01,63.3
C00011,2025-10-08,77.24
C00011,2025-10-09,25.62
C00011,2025-10-16,28.58
C00011,2025-11-02,21.98
C00011,2025-11-25,65.09
C00011,2025-12-01,59.07
C00011,2025-12-09,21.35
C00011,2025-12-11,57.35
C00011,2025-12-21,61.81
C00012,2025-07-12,62.96
C00012,2025-07-15,100.6
C00012,2025-07-26,75.06
C00012,2025-08-03,95.14
C00012,2025-08-17,88.69
C00012,2025-08-19,44.15
C00012,2025-08-30,166.23
C00012,2025-09-15,54.65
C00012,2025-09-27,51.36
C00012,2025-10-10,20.93
C00012,2025-10-10,61.46
C00012,2025-10-12,54.04
C00012,2025-10-15,10.6
C00012,2025-10-16,80.49
C00012,2025-10-23,241.7
C00012,2025-10-26,25.31
C00012,2025-10-27,93.82
C00012,2025-11-05,78.98
C00012,2025-11-06,151.13
C00012,2025-11-27,159.0
C00012,2025-12-31,363.35
C00013,2025-08-06,6.92
C00013,2025-08-07,17.78
C00013,2025-08-23,36.06
C00013,2025-08-28,34.62
C00013,2025-08-29,12.98
C00013,2025-09-04,20.92
C00013,2025-09-14,20.86
C00013,2025-09-15,53.83
C00013,2025-09-26,32.78
C00013,2025-09-30,11.93
C00013,2025-09-30,24.46
C00013,2025-10-03,27.51
C00013,2025-10-06,31.08
C00013,2025-10-10,15.99
C00013,2025-10-12,40.15
C00013,2025-10-24,16.45
C00013,2025-10-25,54.49
C00013,2025-10-27,30.89
C00013,2025-11-05,25.04
C00013,2025-11-18,47.71
C00013,2025-11-22,10.11
C00013,2025-11-23,53.52
C00013,2025-12-01,47.31
C00013,2025-12-02,39.37
C00013,2025-12-02,13.98
C00013,2025-12-03,41.75
C00013,2025-12-05,56.08
C00013,2025-12-11,28.37
C00013,2025-12-19,30.95
C00013,2025-12-25,14.62
C00014,2025-07-16,36.83
C00014,2025-07-18,17.87
C00014,2025-07-19,29.16
C00014,2025-07-19,11.93
C00014,2025-07-26,38.76
C00015,2025-02-11,29.8
C00015,2025-02-13,7.14
C00015,2025-02-26,7.38
C00015,2025-06-28,16.16
C00016,2025-03-24,43.51
C00016,2025-03-30,51.03
C00016,2025-03-30,39.82
C00016,2025-03-31,61.69
C00016,2025-04-10,9.85
C00016,2025-04-13,30.06
C00016,2025-04-14,8.31
C00016,2025-04-16,35.88
C00017,2025-02-26,56.05
C00017,2025-03-01,131.29
C00017,2025-03-08,154.81
C00017,2025-03-13,48.23
C00017,2025-03-15,73.32
C00017,2025-03-20,68.25
C00017,2025-04-11,174.28
C00017,2025-04-12,31.69
C00019,2025-03-16,38.23
C00019,2025-03-19,22.31
C00019,2025-03-22,11.44
C00019,2025-03-26,81.69
C00019,2025-04-09,15.78
C00019,2025-04-18,29.28
C00019,2025-04-20,46.8
C00019,2025-04-20,80.3
C00019,2025-05-07,27.71
C00019,2025-05-15,348.77
C00019,2025-05-18,22.05
C00019,2025-05-26,33.48
C00019,2025-06-17,40.03
C00019,2025-06-25,39.81
C00019,2025-06-27,17.4
C00019,2025-07-02,53.49
C00019,2025-07-15,44.64
C00019,2025-07-16,58.45
C00019,2025-07-17,7.05
C00019,2025-07-18,45.85
C00019,2025-07-18,4.71
C00019,2025-07-20,35.41
C00019,2025-07-21,52.18
C00019,2025-07-28,65.92
C00019,2025-07-30,31.98
C00019,2025-08-04,26.67
C00019,2025-08-05,13.79
C00019,2025-08-15,6.85
C00020,2025-07-02,10.04
C00020,2025-07-04,4.77
C00020,2025-07-29,2.14
C00020,2025-08-12,6.46
C00020,2025-08-22,15.28
C00020,2025-08-31,0.59
C00020,2025-09-16,4.95
C00020,2025-10-07,10.73
C00020,2025-10-09,7.25
C00020,2025-10-13,16.55
C00020,2025-10-18,14.26
C00020,2025-10-27,1.88
C00020,2025-11-11,7.71
C00020,2025-11-19,3.87
C00020,2025-11-23,3.83
C00020,2025-12-31,2.04
C00021,2025-01-26,91.31
C00021,2025-01-30,76.7
C00021,2025-02-07,67.33
C00021,2025-02-12,88.2
C00021,2025-02-16,271.23
C00021,2025-02-17,79.79
C00021,2025-02-27,107.99
C00022,2025-11-19,1.34
C00022,2025-12-27,31.03
C00022,2025-12-28,76.55
C00023,2025-04-16,81.72
C00023,2025-05-20,38.76
C00023,2025-05-22,24.2
C00023,2025-06-08,34.42
C00023,2025-06-26,229.02
C00023,2025-06-26,99.0
C00023,2025-06-30,63.11
C00024,2025-04-16,47.24
C00024,2025-04-24,11.53
C00024,2025-05-09,26.96
C00024,2025-05-24,113.0
C00024,2025-06-04,155.7
C00025,2025-11-07,10.27
C00025,2025-11-26,119.45
C00026,2025-10-17,123.99
C00026,2025-10-22,129.51
C00026,2025-11-05,10.99
C00026,2025-11-13,161.75
C00026,2025-11-16,44.1
C00026,2025-11-18,30.74
C00026,2025-11-22,122.85
C00026,2025-12-04,185.59
C00026,2025-12-17,143.32
C00026,2025-12-20,89.91
C00026,2025-12-23,110.74
C00027,2025-07-09,40.91
C00027,2025-08-01,57.12
C00027,2025-08-11,78.18
C00027,2025-08-17,68.35
C00027,2025-10-12,64.72
C00027,2025-10-29,34.96
C00028,2025-06-01,135.52
C00028,2025-06-06,84.55
C00028,2025-06-16,145.09
C00028,2025-06-17,234.27
C00028,2025-06-19,65.62
C00028,2025-06-19,37.18
C00029,2025-03-19,90.12
C00030,2025-09-01,78.08
C00031,2025-06-27,80.9
C00031,2025-06-30,6.54
C00031,2025-06-30,23.47
C00031,2025-07-07,115.44
C00031,2025-07-10,58.52
C00031,2025-07-18,7.68
C00031,2025-07-22,105.82
C00031,2025-08-11,50.4
C00031,2025-08-18,197.93
C00031,2025-08-20,29.97
C00031,2025-08-20,85.98
C00031,2025-08-21,33.47
C00031,2025-08-25,8.28
C00031,2025-08-27,239.03
C00031,2025-08-27,59.26
C00031,2025-08-31,41.54
C00031,2025-09-21,107.02
C00031,2025-09-22,81.51
C00031,2025-09-22,8.57
C00031,2025-09-26,35.36
C00031,2025-09-26,35.7
C00031,2025-10-02,20.08
C00031,2025-10-13,50.68
C00031,2025-10-25,61.26
C00031,2025-11-07,126.71
C00031,2025-11-15,72.93
C00031,2025-11-25,15.9
C00031,2025-11-30,39.44
C00031,2025-12-14,102.83
C00031,2025-12-22,76.26
C00031,2025-12-22,47.83
C00031,2025-12-22,14.34
C00031,2025-12-26,214.06
C00031,2025-12-27,252.62
C00031,2025-12-31,87.09
C00032,2025-10-23,44.47
C00032,2025-10-26,8.21
C00032,2025-10-31,5.2
C00032,2025-11-06,30.19
C00032,2025-11-13,26.86
C00032,2025-11-13,58.73
C00032,2025-11-15,7.16
C00032,2025-11-23,3.99
C00032,2025-12-07,42.14
C00032,2025-12-08,89.85
